Customer Review,Emotion
"Ini kedua kalinya saya beli disini, tidak menyesal banget, kualitasnya pasti oke, pengirimannya juga bagus dan cepat, packingnya juga rapi dan aman.",Love
"Seneng banget dapet best deal beli 2 gratis 1 gini. Produk dipastikan original. Pengemasan cepat, dan sangat aman krn selain masih dalam packaging plastik, masih ditambah extra protection pake bubble wrap tebel. Terus dikasih bonus susu 2 dus juga walau akhirnya harus kasih ke temen karena belum punya baby hehe. Overall thanks a lot seller! ??",Love
"sangat kecewa belanja di toko ini pesan 12 masker yang sampai cuma 10 tolong kalau packing barang sbelum di kirim teliti dlu dong, jangan sampai mengecewakan pembeli termasuk saya .",Sadness
Sangat buruk menanggapi respon pembeli n katanya ada garansi tapi ada kerusakan malah tidak direspon ??,Sadness
"Awalnya saya ragu, dengan harga segitu produk yang ditawarkan bisa bagus, apalagi saya orang yang sangat selektif dalam memilih produk yang akan dibeli, begitu paketnya mendarat, saya langsung unboxing dan ternyata diluar ekspektasi saya.Produknya benar-benar berkualitas tinggi, gelnya lembut banget, nyaman banget kalau didudukan lama, gak sakit, lebarnya juga bagus, no endorsement iya betul, saya pembeli asli, jangan sungkan beli di lapak seller ini, recomended banget",Love
"Tidak sesuai dengan yang saya inginkan, saya minta pengeras, saya diberi jagung, fotonya mengecewakan, aaaaaaaa",Sadness
beli rontok 6 agustus 2021 tp tarikh 13 september sdh error pada paket driving wheels akhirna ditanggal itu jg sya kirim t9 nya ke service centre dalam tangerang 9 hari kemudian t9 kembali pada tgn sya tp kemudian error lg pada rontok 23 september waktu ini error di bagian sensor dmn deebot selalu bilang ozmo menyebelahi is being installed please move to the non carpet area pdhal ozmo memihak tdk pas di attach ke t9 nya dikarnakan keadaan ini alat penerangan pd deebot akhirna suka bergonta ganti jd spektakuler putih biru bersih beserta sepanjang malam itu voice report tetap menerobos bunyi seperti itu senyampang dsuru angkat service lg maap saja sya bakalan tdk mao berhubung ongkosna yg sgt mahal jd menjelang sementara oke sya hanya bs matikan voice reportna dl aja meski ga terganjal overall sangka memengkalkan t9 ini dibandingkan t8 aivi pula 950 t9 jauh tdk awet banting baru pake sebulan tp sdh byk banget  errornya bener2 nyesel jg belinya maaap hanya bs kasi bintang segene krn ktdkpuasan kita  kl memang mao consider beli manusia mesin belanja baik beli t8 series aja lebi tahan kebas soale,Anger
"barang dibungkus pakai bubblewarp, trs pecah gatau dari jasa kirimnya atau pengemasannya, selain itu jasa kirimnya lama bgt asli, lumayan kecewa",Sadness
a minus melayani,Anger
"pesan warna putih karena yang putih kosong diganti hitam tapi yang datang warna maroon dan pusiiing, sepertinya belum siap dihidangkan",Fear
"alhamdulillah barang sampai di tgl 6/11. Isi dusnya : instruction manual book, kartu garansi, stiker boya, tas kecil boya, seperangkat mic, batereinya & jack adaptor (kayaknya untuk koneksi ke amplifier).",Happy
"kecewa dan sangat tidak puas dengan pelayanan sejak tanggal 18 setelah pemesanan barang saat itu statusnya masih menunggu konfirmasi artinya belum diproses oleh penjual.Saya membatalkan karena ingin mengganti produk yang akan saya beli di toko yang sama.Saya konfirmasi penjual lewat chat sampai 3x untuk menanyakan proses pembatalan sampai malam hari sebelum tidur.Statusnya masih menunggu konfirmasi yang berarti pesanan saya belum diproses, namun kemudian pada pagi hari tanggal 19 Juli 2021 penjual berubah status menjadi diproses yang berarti penjual tidak bersedia membatalkan dan statusnya berubah menjadi menunggu. Kurir masih pada tanggal 19 pagi namun sampai tanggal 21 barang belum terkirim dan status masih menunggu kurir.Status pengiriman tidak diperbarui.Penjual menyalahkan penyedia pengiriman.Barang baru dikirim setelah saya laporkan ke Tokopedia.",Anger
Berkali-kali saya membelinya dari kopi tuang terbaik,Love
"Suara yang dihasilkan jernih.kalau ditambahkan kit giga bass tambah glerr,ditambah lg preeamp mic 2 tr bisa buat karaoke",Happy
"Cepat dikirim ke wilayah Jakarta Selatan, langsung dipakai dan berfungsi dengan baik, recomended seller",Love
"produk tidak layak dimakan, beberapa potong sudah berjamur padahal di situ tertulis tanggal kadaluwarsanya masih 1 bulan lagi.Mohon dilakukan QC ulang terhadap seluruh produk pangan agar layak dikonsumsi konsumen.",Fear
"Tidak sesuai gambar, ada cacat pada jersey, sablon berantakan, ukuran juga tidak sesuai dengan yang dipesan, sepertinya toko baru saja mengirimkan barang",Anger
"Pake seminggu udh rusak, bahannya ada sambungan yang brudul ga bisa dijahit ulang . waktu dtg masih rapi .kecewa......",Sadness
Paket gepeng gosend gak bener Pelayanan kurang bertanggung jawab done.,Anger
barang tersebut ternyata palsu,Fear
"Pengiriman cepat, packing aman, barang bagus sesuai deskripsi, terimakasih",Happy
Sangat presisi dan pas,Happy
"Kali ini saya kecewa dapat yang kadaluwarsa padahal saya baru minum sehari dan keesokan harinya sudah asam dan saya tidak bisa meminumnya.Silakan periksa tanggal kedaluwarsanya.Sejujurnya, saya sangat kecewa.",Sadness
"Parfum sudah sampai terbungkus rapi tapi saya curiga kenapa aromanya keluar padahal belum dibuka sama sekali dari kotak luarnya.Saat saya buka kotak luarnya ternyata kotak bagian dalam basah lalu saya buka dan di dalamnya hanya ada sedikit parfum.Saya tidak tahu apa masalahnya dengan pengemasan atau pengirimannya.Mohon dievaluasi kembali, terima kasih",Fear
"sesuai, ada kendala awalnya, tapi terselesaikan dengan cepat dan tanpa repot",Happy
Saya membeli bubble tetapi tidak mendapatkan bubble seperti biasanya.Saya tidak kecewa kali ini,Sadness
"Harga termurah, kualitas dan pelayanan terbaik, produk recomended dari recomended seller",Love
paket AMAN....TQ gan,Happy
"Barang sampai dengan selamat, mic berfungsi tapi emang kualitasnya tidak sampai bisa meredam suara di sekitar",Sadness
"bagus bgt, sesuai gambar, pngiriman jg cpt",Love
ga jujur ini wong  dagang,Anger
"Harga terjangkau, warna recomended, pengiriman cepat, 2 hari sampai, seller fast respon, kondisi barang utuh, warna bagus, cantik sekali, kurir juga baik, telpon genap 4 kali, konfirmasi alamat, terima kasih seller, tidak ada videonya, tidak ada videonya, jadi saya kirim videonya lewat SMS",Love
"kecewa sekali ada 10 lembar warnanya beda memang sekilas bentuk dan motif sama tpi saat mau dipasang beda sekali, rate barang 8/10 rate penjual 4/10",Sadness
Rasanya basi banget kok baunya seperti tong sampah,Anger
"Barang bagus, pengiriman cepat, sayang packaging seada-adanya. pesanan untuk menambahkan bubble wrap juga tidak diindahkan. respon juga tidak bagus.",Fear
Baru kali ini pesan di sini kecewa. Hasil print meleset dari desain. Seller dikasih masukan malah menyalahkan pembeli. Ga bakal beli lagi.,Fear
"Susah d bikinnya, ga ngerti, ribet... packing juga kurang... bahkan ada yg lecek dan robek kertasnya... ya uda lah",Anger
Aroma nya tipis sekali..,Sadness
"kainnya adem, lembut, tipis nyaman lah klo buat tidur terimakasih",Happy
"Promo ngawur,asa kejar diskon spesial lebih mahal dr promo reguler.",Anger
"Selalu repurchase produk ini, selain untuk bulu mata juga bagus banget untuk merapikan alis dan tentunya terlihat natural.",Love
adminnya kebanyakan bac00t lamban bgt gigit jari banget dehhh,Anger
"Tidak ada lapisan pelindung sama sekali baik itu plastik maupun pembungkusnya, kotak yang diterima dalam kondisi penyok, embernya banyak yang lecet, pengirimannya lama sekali dari hari minggu sampai rabu, padahal di jakarta masih sama, padahal saya beli di toko resmi mending beli di toko biasa.Tadinya saya beli di toko biasa untuk oleh-oleh, 1 hari sudah sampai, harga lebih murah, packingnya bagus, toko resminya malah hancur, yang untuk oleh-oleh tokonya tutup saja.",Anger
Teksturnya creamy. Gampang dipakai. Packaging aman ??.,Happy
utusan jne,Anger
"Negative bgt botol nya, jadi gak praktis tumpah2 gitu kaya bocor, liat review emang masalahnya di botol, ehh ternyata bener, paraaaah sih menurut aku botolnya, oil nya lumayan lah",Sadness
Ukuran sesuai. Bahannya berkualitas. Nyaman dipakai si kecil. Modelnya keren ??.,Happy
mantaaaaap sesuai dengan ?g di gambar nya jujur dan amanah seler nya .ngak nyesel belanja di toko ini .pokok nya mantaaaaap deh,Love
Saya sudah mendapat repeat order berkali-kali dan itu bagus,Love
Alhamdulillah bagus Material Produk Bagus. Produk Sesuai. Produk Berfungsi Dengan Baik.,Happy
"Maaf baru kasih ulasan.. Buku nya bagus, berwarna, tulisan nya juga jelas, tapi ada di brapa halaman lem nya gx kuat ya, jadi pada copot lembaran nya.. seller, dan kurir oke",Happy
"Tali senter kepala ganti, kurang bagus, kecewa",Sadness
"BELI PEPSODENT PAKET 4 PCS TAPI YG DIKIRIM 2, DI COMPLAIN MALAH MINTA VIDEO UNBOXING. GUE TAU ISINYA KURANG KARNA GUE BUKA PAKETNYA! WEY KALO GUE TAU ISI PAKETNYA KURANG UDAH GUE BUAT VIDEO DARI AWAL!!",Anger
"Pesanan hari Minggu sudah sampai di hari Rabu, mohon maaf saya minta penundaan, lalu saya diberitahu jika pesanan kelebihan beban, baru dikirim hari selasa, tidak ada konfirmasi awal, jika pesanan kelebihan beban, saya tidak bertanggung jawab",Anger
"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",Happy
"Warna tidak sesuai request, walaupun sudah diberi note, warna tetap dikirim random",Sadness
"Pengemasannya seadanya, lembukunya juga mudah patah. CDnya gak diplastikin diselipin aja dibukunya. Semoga dapat dipebaki yah^-^",Sadness
"Pengiriman lama, Minta Nota Pembelian tidak di kasi",Fear
kamera yang saya beli baru dipakai 1 hari sudah layarnya rusak. dengan harga yg cukup mahal barangnya tidak bagus mutunya.,Sadness
"mana kado tempat minum lipatnya qoq gak ada katanya selama persediaan masih ada tapi kalo kadonya udah gak ada jangan di tunjukan lagi, itu namanya bohong, harganya gak pas, hadiahnya gak ada lagi.",Anger
"bahan, model dan warnanya bagus, respon penjual cepat, harga bersaing dengan kompetitor, kemasannya juga bagus",Happy
"Nyaman dipakai, kemasan bagus, pengiriman super !",Love
"Diterima dalam kemasan terbuka dan sepertinya rusak.Komplain namun harus mengembalikan barang, ribet dan repot sendiri",Anger
"mantap banget, harga terbaik dan pelayanan sangat responsif, diacungi jempol",Love
"warna pinknya tipis dan tembus pandang, pengiriman jelek, barang baru dikirim minus beberapa jam baru otomatis batal padahal 4 hari setelah pemesanan penjual sudah diingatkan lewat DM tapi malah disuruh bersabar tanpa diberi alasan dan status barang masih dalam proses, mungkin menunggu pesanan dalam jumlah besar segera dikirim.",Sadness
"Warna berdebu di foto sebenarnya beda, bagian atas depan kotor seperti tinta pulpen",Sadness
packagingnya payah saya pesan 3 kaleng yg satu pecah dan bukan mau diganti csnya minta bahan foto dan gambar usai abdi kirimkan tapi tetap minta terus pula akhirnya mereka menyudahi komplain saya secara sepihak,Anger
"SIM card ok, mudah dipasang dan mudah langsung di gunakan",Happy
"Dikirim bor nya kurang satu. Terus bukannya tinggal ngirim yang kurang, Saya harus ngirim balik 1 kotak. Buang2 ongkir. Sengaja dibikin repot.",Anger
akhirnya bisa punya koleksi juga walau cuma 1. next lebih banyak lagi koleksi bt21 nya. thank you,Happy
Knuckles karetnya agak kurang nyaman terus pelayananya slow respon,Sadness
"dapet barang gak bagus. analog kiri gabisa buat jalan ke serong kanan atau kiri. mau retur ribet + seller slow respon. alhasil cuma jadi pajangan aja nih stick. EDIT, SETELAH SEMINGGU ANALOG GABISA JALAN SAMA SEKALII,, PENJUAL SAMA SEKALI GA RESPONN.. nyesel",Fear
sibukeeetttlamaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa sudah pesan dua kali,Anger
"Mohon maaf, produknya tidak bisa dipakai. Sudah install sesuai dengan petunjuk, tp ga bisa juga. Insya Allah Ikhlas",Fear
"tidak sebagus di gambar, kain tepi di neci aja bukan di jahit lipat, ya harga segitu",Sadness
"Barang berfungsi dengan baik, recomended seller",Love
Robusta ini tidak sesuai dengan deskripsi dan ekspektasi buruk,Anger
bagian tombol ada kempot parah. pabrikan tidak jaga mutu,Fear
"Soal barang slow respon, saya minta dikirim pakai hari yang sama, jam 6, barang baru diantar dan diterima di hari ke 3, transaksi sebelum jam 11 pagi, packing barang saat pengiriman sangat buruk, tidak recomended bagi yang mau buru-buru pakai barangnya.",Fear
payahhh packing ceroboh cm plastik dustnya manaaa,Anger
Barang yg saya pesan tidak sesuai pesanan. Udah komunikasi via chat untuk minta tukar dan minta tolong direspon ke tokopedia care tapi ga ada balesan sama sekali. Pertama kali saya ngalamin kyk begini selama belanja di toped.,Fear
"bahan ny sih bagus, cm sayang pesen nya 2 datang ny 1. d chat ke seller ny jg d d baca, boro-boro ada penjelasan. seller g asiiiik g bs d ajak komunikasi",Sadness
"Jamnya sangat bagus, produk sesuai foto, nyaman dipakai",Love
"rumahnya rapi dan nyaman, bahan recomended, produk bagus, produk sesuai, respon penjual murah, pengiriman cepat, packing sangat aman, cashback banyak, cashback bisa digunakan untuk belanja lainnya, free ongkir tentunya bahannya cukup bagus oke oke pokoknya ulasan saya tidak terlalu panjang dan lebar mungkin cukup sampai disini terima kasih sudah menyimak ulasan itu dan saya ucapkan terima kasih banyak, ingat tetap jaga protokol kesehatan, gunakan masker dan jaga jarak",Love
"Barang sudah diterima, dan kualitas brg tidak mengecewakan...... mantap abis",Love
"mantap, barang oke",Happy
"Bagus banget dan nyaman untuk baby, Sangat worth it dengan harganya ????Bahannya nyaman ??. Desain ergonomis. Nyaman di punggung. Gampang dipakai. Beban tersebar merata. Bahannya fleksibel. Proses pesanan cepat. Penjualnya ramah banget. Packaging aman ??. Packaging rapi. Respon penjualnya top.",Happy
"Respon seller sangat cepat dan ramah, packing sangat rapih... RECOMMENDED SELLER lah pokok nya !!!!",Love
Kurir JNE,Anger
"brg nya blm sampe, dan blm diterima. tp diaplikasi uda selesai aja. kan aneh",Anger
barang tidak dapat dalam operasikan sudah menghubungi customer service belom tampil response,Anger
"barang sesuai deskripsi dan fungsi baik, hanya saja kurang puas dengan pelayanan dari penjual, pesanan diproses h2 dan diambil h4, bahkan setelah selesai baru dipindahkan",Fear
Mantaab P00000L.... ?????????? udh langganan...keluarga sangat syukaaaa...trims ??,Love
sambal nya asem chat penjual gak respon kecewa,Sadness
mantap pastelnya. ini pemesanan utk yg kesekian kalinya. selalu langganan n puas sm rasanya.. penjualnya jg ramah banget.. rekomend pokoknya,Happy
mengecewakan,Sadness
pengirimannya cepat dan dapat diandalkan,Love
penjual sangat fast respon dan kualitas barang sangat bagus sesuai dengan spesifikasi tanpa ada cacat,Happy
pengiriman cepat buku dalam kondisi baik,Happy
Kemasannya kurang aman sehingga mienya hancur.Pengirimannya lama banget dan prosesnya lama banget,Fear
sudah lama sekali datangnya,Anger
enak sangat pulen bener2 teksturnya seperti nasi lengat gampang juga buatnya,Love
Ahh selalu memuaskan belanja disini,Love
"cuma penyok penyok doang , sisanya bagus kok",Happy
"apabila pesanan tidak tersedia, jangan kirim selain yg dipesan (walau hanya beda warna (saya mencari warna merah, dikirim warna biru). mengecewakan.",Sadness
barli rutin tiap minguu 20pcs yg bingkisan terakhir seluruh sedang rusak kendor pada bagian baut2 nya cuma ada separo yg bisa digunakan bahaya bocor angin dari bawah bis mengambil oleh cukup bocor di tanyakan pada penjual tapi sayangnya ga mau tau cuma jawab ga tersedia andalan costumer lagi yg dirugikan krn penjual yg ga bersetuju tanggung jawab dari barang yg dijualnya hanya pengen cuan tapi ga mau tau erangan costumer nya padahal sudah saya mengakui tiap pengambilan puguh ke toko ini tapi sayang nya ga ada bantuan yg becus  menuntungkan costumer nya,Anger
"Mantaaap. Tanggap banget, fast respon. Juossssssss",Love
baru dipasang sdh tdk berfungsi,Sadness
Koper penyok. Dari awal sdh pengen nambah bubble/dus soalnya pengiriman luar jabodetabek. Smoga jd evaluasi seller.,Fear
"pesennya tosca, yg datang ungu, hehehe tp soal produk tdk diragukan lg, memuaskan Kualitas Product Bagus.",Happy
Material Produk Bagus. Ukuran Produk Sesuai. Warna Produk Sesuai.tapi sayang karetnya kurang baik krn masih bocor saat test simpan air,Sadness
"beli 10pcs hampir rusak semua bentuknya, dan toko terus berdalih, ya udah utk pelajaran aja utk yg mau beli",Fear
barang bagus. pengirim cepat. s3moga bermanfaat,Happy
sangat tipis..keterangan besi tp yg dikrim aluminium tipis dan lembek,Sadness
masker terfavorit ga bikin uap dikacamata dan sangat nyaman dipakai. harga oke banget sekarang. Mantap,Love
"Selalu puas belanja disini, udah ketiga kalinya beli disini. Pengiriman cepat, respon cepat.",Happy
Kecewa deh beli helm sudah pakai bubble wrap tp masih lecet di bagian dalam visor helm lg. Berarti bukan lecet dari pengiriman. Tanggapan penjual juga tidak baik.,Sadness
"pengiriman lama sekali, diconfirm tdk dibalas pdhal online. Negative service..",Anger
"Baru pertama kali pesan disini, kecewa hasil print meleset dari desain, penjual dikasih feedback malah menyalahkan pembeli karena tidak membeli lagi",Fear
"ibarat bli kcing dlm karung, kainya tipis kyak kulit bwang trus nerawang bnget, pokok nya gk bgus bngt kcewa .??????",Sadness
"Respon sangat lambat, tidak disarankan",Fear
Bahannya adem. Jahitannya rapi. Tidak menerawang. Enak dipakai ?.,Happy
"Konten bukunya banyak yang salah. Materi TWK banyak yang salah, kunci jawabannya juga. Sedih banget padahal buat belajar ??????",Sadness
"warna tidak sesuai dengan yg dikirim, males pengembalian barang seller asal-asalan kirim",Anger
parah sementara itu di note sesudah di iba bilamana chip dekat fragmen belakang desain dan apabila pandai ga ada logo bcaflazznya ga diliat sama sekali kayaknya notenya hadeeeeeeeeeeeeeeeeeeeeeeh penjualnya jg kaga ramah mo ngasih tau sekedar negor langsung ngomong return aja seolah olah complaint akibat kasdu direturn atau pada tiru duitnya padahal dikritik biar kian baik kedepannya bukannya minta maaf udah salah malah sok ga butuh pembeli kaul kesel bgt ama ini penjual sombong parah,Anger
"Pesan tanggal 10, barang baru sampai tanggal 20, padahal sesama warga Jakarta ngobrol dan bilang sudah dikirim tanggal 11, padahal pas saya lacak tanggal 12, katanya reschedule pickup karena paket belum siap diambil.Ini resmi Adidas, tapi pelayanannya begini, hadeh",Anger
"pembelian kedua, semoga sehat lagi kucingnya",Love
masker terfavorit ga bikin uap dikacamata selanjutnya sangat senang dipakai harga oke banget sekarang pagan,Love
lilinnya udah rusak banget goldnya.,Fear
Ini bukanlah orang yang berdagang dengan jujur,Anger
"barang datang dng dus yg tidak layak banget,buat kado jd malu dgn kondisi mengenaskan",Sadness
"maaf nih, wanginya kaya body lotion citra, malahan masih lebih wangi body lotion ?? emang sih harga murah, tapi menurut saya tetep ga worthed",Sadness
JELEKKKKK PUTUSS SEMUA TALINYA,Anger
"alhmdllh pkt ny dah smpe..ank2 seneng bgt klu Makan sama sarden ABC..makasi seller,Tokopedia.",Love
penjualnya tidak ramah,Anger
"isinya cuma 800 gr, diskripsinya 1 kg.. udah terlanjur beli 10 bungkus.. tolong dong jangan suka nipu alus model gini.. kagak berkah tau!! parah nih sellernya, ngasih duit haram ke keluarganya..",Anger
"Barang sesuai gambar, pengiriman juga cepat.",Happy
Jahitan rapi.,Happy
"bagus, sesuai ekspektasi, proses cepat, ahhhhhhhhhhhhhhhh",Love
barang bagus dan berkwalitas.. mantapsss... sesuai deskripsi.. cepat sampai,Happy
patah arang bangetbarang rusak di juallain kali kalo jual barang yang jujur jgn sesuatu rusak yang di jual tah,Anger
Terima kasih barang sampai dan sesuai deskripsi,Happy
"Respon seller OK.Packaging rapih. Pesanan sesuai. Kukisnya enak teksturnya pas, hanya masih kemanisan mnrt sy. Kalau dikurangi sedikit manisnya lebih ok ??????",Happy
kardus bekas dijual. itupun masih rusak susu nya,Anger
Ada shimmer ?. Packaging aman ??. Proses pesanan cepat. Packaging rapi.,Happy
barangnya ancur cuman d bungkus plastik melalui harga segitu kaliber  warung official store tp barang d terima ancur mah tobat,Anger
lain kali lebih teliti..tolong dicek dulu sebelum barang dikirim jgn sampe salah..pesan nutrilon 3 sebanyak 2 kaleng tp yg dikirim satunya nutrilon 4.,Sadness
"Ini enak banget, kemasannya juga bagus banget, terima kasih, recomended banget",Love
ternyata tipis bahannya,Sadness
"Sayang sekali tidak disertakan padahal sudah terjual, maaf saya hanya mengirimkan 1 bintang",Anger
seller tidak bertanggung tanggapan,Anger
Pembelian kedua tapi baru dibuka langsung sobek bagian atasnya,Sadness
"Tidak transparan, mudah dibentuk, jahitan rapi, nyaman dipakai, warna cantik, model cantik, bahan keren",Love
Lain x waktu pengiriman harap lebih cepat. Yg lainnya sdh bagus!,Happy
borong 3 dikirim 2 doang balikin duit gw penipu,Anger
"yg dikirim rusak, ajukan komplain tp gak jelas",Anger
"Over all bagus, hanya pengirimannya sedikit bermasalah, terimakasih",Happy
"pesen dari tanggal 26 november baru sampai tanggal 05 desember padahal orderan dari official store itupun setelah kemarin saya ikut ekspedisi sendiri karena statusnya top, masih menunggu pick up, paket pun belum terpacking dengan aman, hanya ada potongan plastik yang basah kena hujan, saya kapok, saya tidak berani belanja disini lagi, saya hanya ngobrol dengan seller yang merespon sistem dan hanya informasinya saja yang masih menunggu pick up.",Fear
kaca malah jadi buram. cairan ini baunya seperti porstex. hati hati dalam membeli,Fear
"Merupakan tindakan yang tidak jujur ??dan terkesan memaksa untuk menjual barang tersebut, maka barang yang dikirim tidak sesuai pesanan dan pada akhirnya pembeli akan disuruh mengirimkan barang tanpa ada solusi apakah barang tersebut tersedia atau tidak, dengan resiko barang yang ditawarkan di foto mungkin sebenarnya tidak ada.",Anger
ahannya bagus. model juga unik. cakep. adminnya sangat ramah serta cepat responnya. terima kasih triple W official ??,Happy
Bukunya kena rembesan minyak. Bungkus bublewrapnya parah banget kena minyaknya sampai isolasinya pada copot. Sebenernya lumayan kecewa sihh..cuma karna memang kena waktu di ekspedisi jd bukan kesalahan seller. Next semoga bungkus bukunya bisa lebih secure lg ??,Sadness
Barang yang dikirim tidak ada remotenya.Saya tidak lagi berbelanja di sini.Toko itu tidak terlalu berhati-hati,Anger
bahannya tipis dan jahitannya kurang rapi,Sadness
"barang tiba dengan aman,mantap deh ... terimakasih",Love
barang udah nyampe ..makasih broo,Happy
"puas , cuma untuk kemasanya kurang aman ya karna tidak pakai bublewrap , pake map coklat gitu , mapnya sobek ujung nya untung bukunya aman",Happy
"Salah satu unitnya kedip2, harus di ketok2 dlu baru nyala, ntar kedip2 lagi, malahan gak nyala harus di ketok2 lg lampunya... satu unitnya lagi perfect tidak ada masalah.. thanks",Sadness
"harus lebih kompak lagi antara owner & admin, perhatikan stock barang, jangan kecewakan konsumen, Terima kasih",Fear
"tidak terbuka, ukurannya sesuai, bahannya keren, jahitannya dekat, warnanya cantik, modelnya cantik",Love
"Masih kecewa barang yang sampai di pelanggan bocor padahal alasannya rusak di ekspedisi, heck",Sadness
pokoknya top...?????? bintang yg bicara ??????,Love
"pengiriman sangat lamaaa, tdk ada pemberitahuan & chat tdk di respon",Sadness
"untuk barang nya lumayan bagus wkwk ada harga ada kualitas ga masalah, respon barang nya juga cukup bagus sensitif nya",Happy
Barang Tidak sama antara yg di foto dengan yaang dikirim. Tolong yg jujur jika berusaha meskipun nilai uang nya kecil,Fear
tidak sesuai spesifikasi abis itu mau komplain tidak di layani bahaya sekali,Fear
